round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status,match,reason,round,tick,winner
,,,,cs2,unknown,"error: 
thread '<unnamed>' panicked at /Users/runner/work",spirit-vs-faze-m1-nuke-p2,,,,
,,,,cs2,unknown,"error: 
thread '<unnamed>' panicked at /Users/runner/work",mouz-vs-falcons-m2-ancient,,,,
,,,,cs2,unknown,"error: 
thread '<unnamed>' panicked at /Users/runner/work",mouz-vs-natus-vincere-m3-train,,,,
,,,,cs2,unknown,"error: 
thread '<unnamed>' panicked at /Users/runner/work",faze-vs-vitality-m1-mirage,,,,
,,,,cs2,unknown,"error: 
thread '<unnamed>' panicked at /Users/runner/work",g2-vs-3dmax-m2-dust2,,,,
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_defused,3.0,5627.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,4.0,15355.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,5.0,23971.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,6.0,32073.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,7.0,40986.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,8.0,53694.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,9.0,61507.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,10.0,68223.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,t_killed,11.0,75744.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,12.0,86844.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,13.0,92231.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,t_killed,14.0,100199.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,15.0,121061.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,16.0,127469.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,17.0,134274.0,T
