,t_win
t_win,1.0
max_kill_distance,0.0868139724577644
avg_kill_distance,0.08188758195227594
wallbang_kills,0.07628394235874977
min_kill_distance,0.07032706853090762
assisted_kills,0.03440779839305351
smoke_kills,0.00995528110439703
pistol_kills,-0.0037691072220047738
smg_kills,-0.0073684145210758875
awp_kills,-0.02905872696020812
rifle_kills,-0.041563915127405184
headshot_rate,-0.10320654916478737
avg_damage_per_kill,-0.12609758717308342
headshot_kills,-0.13296604785555183
total_kills,-0.17410412314113743
total_damage,-0.17422327690098396
noscope_kills,
