reason,round,tick,winner
,1,1,
ct_killed,2,5976,T
ct_killed,3,14166,T
ct_killed,4,29262,T
t_killed,5,33342,CT
bomb_exploded,6,43850,T
ct_killed,7,53834,T
bomb_defused,8,59772,CT
bomb_exploded,9,71129,T
bomb_exploded,10,80078,T
bomb_defused,11,88940,CT
t_killed,12,95560,CT
ct_killed,13,100196,T
bomb_defused,14,120140,CT
t_killed,15,127322,CT
ct_killed,16,136987,T
bomb_exploded,17,147745,T
bomb_exploded,18,159599,T
t_killed,19,166283,CT
bomb_exploded,20,176790,T
bomb_defused,21,186564,CT
ct_killed,22,198156,T
t_killed,23,206177,CT
