tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
0,,,,1,0,0,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
2463,CT,t_killed,CT,2,0,2463,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
9788,T,ct_killed,T,3,2463,9788,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
21010,T,bomb_exploded,T,4,9788,21010,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass
27484,T,ct_killed,T,5,21010,27484,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
37309,CT,bomb_defused,CT,6,27484,37309,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
48744,T,bomb_exploded,T,7,37309,48744,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass
57710,T,bomb_exploded,T,8,48744,57710,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass
68845,CT,bomb_defused,CT,9,57710,68845,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
74826,CT,bomb_defused,CT,10,68845,74826,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
83914,CT,time_ran_out,CT,11,74826,83914,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
90775,CT,t_killed,CT,12,83914,90775,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
101121,CT,bomb_defused,CT,13,90775,101121,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
108751,T,ct_killed,T,14,101121,108751,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
117782,CT,t_killed,CT,15,108751,117782,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
122730,CT,t_killed,CT,16,117782,122730,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
132009,T,ct_killed,T,17,122730,132009,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
138761,CT,t_killed,CT,18,132009,138761,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
145744,CT,t_killed,CT,19,138761,145744,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
155509,T,ct_killed,T,20,145744,155509,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
163230,CT,t_killed,CT,21,155509,163230,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
169091,CT,t_killed,CT,22,163230,169091,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
175052,T,ct_killed,T,23,169091,175052,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
185037,T,bomb_exploded,T,24,175052,185037,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass
191967,T,bomb_exploded,T,25,185037,191967,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass
199225,T,ct_killed,T,26,191967,199225,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
208522,CT,bomb_defused,CT,27,199225,208522,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
215963,CT,t_killed,CT,28,208522,215963,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
225214,CT,bomb_defused,CT,29,215963,225214,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
232787,CT,t_killed,CT,30,225214,232787,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
242052,CT,bomb_defused,CT,31,232787,242052,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
249178,CT,t_killed,CT,32,242052,249178,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
258763,T,ct_killed,T,33,249178,258763,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
265767,T,ct_killed,T,34,258763,265767,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass
274385,CT,bomb_defused,CT,35,265767,274385,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass
