,correlation
total_kills,1.0
kills_poly2,0.9972280666089245
total_kills_log,0.9966507179374228
total_damage,0.8260326426168668
kills_x_damage,0.8260326426168667
damage_poly2,0.7798633783564
total_damage_log,0.7716190106139373
rolling_damage_avg,0.7612769289796704
rolling_kills_avg,0.7424163995824948
head_hits,0.6630891571366369
headshot_kills,0.659608824294993
rifle_kills,0.45466455224441815
rifle_x_headshot,0.4327512917906892
unique_killers,0.4244517591807659
unique_victims,0.4071206192993443
armor_damage,0.33839936868940634
map_avg_total_kills,0.3318513119830694
awp_x_distance,0.3198902327385185
awp_kills,0.29534263551610546
max_damage,0.25890311272114525
avg_damage_per_kill,0.2502151198781622
chest_hits,0.24875206126434712
max_kill_distance,0.24614305896831734
kill_spread,0.22822963066845867
pistol_kills,0.22704487541099636
kill_tempo,0.2167872260080225
last_kill_tick,0.2089164511242207
shotgun_kills,0.17049884724904946
min_kill_distance,0.1699757037132
map_avg_headshot_rate,0.1635824753561347
limb_hits,0.15970711767275125
is_late_round,0.158329727567209
map_avg_avg_kill_distance,0.15726256126454982
wallbang_kills,0.15063720115282395
round_normalized,0.1396895252522951
first_kill_tick,0.1377592952669003
rolling_headshot_avg,0.11966085287732149
knife_kills,0.11552565937569102
std_kill_distance,0.1118450509650781
headshot_rate,0.09206644493030886
distance_poly2,0.08373029721337162
blind_kills,0.056653569470723114
noscope_kills,0.04857537519796719
avg_kill_distance_log,0.04302370485388294
smg_kills,0.0429230610145781
grenade_kills,0.04235619880680637
is_early_round,0.04220706087322796
airborne_kills,0.03250057257711142
smoke_kills,0.021797907779936128
avg_kill_distance,0.020732808905375433
kill_spread_log,0.01638098821301083
